,0
0,哇
1,通報好像有人對這篇文章有新想法唷快來去看看
2,這裡又不是廢文版
3,我也從通知進來惹
4,就想說無聊測試看看啊畢竟要進入不容易跟我一樣是從通知進來的就想說刷個存在感
5,現在才用沒仔細看直接拿來用被涼涼的嚇死好不習慣拿到夜用的直接失眠
6,寫
7,我睡不著
8,寫
9,不懂睡不著
10,期待下次的參與
11,超棒希望之後還可以參加可以在更大的場館或更多天吧讓更多人都能參加高雄場高雄場高雄場
12,我這裡還有兩個有人要嗎
13,樓上想要
14,可是妳遇的到我嗎
15,我也樂意幫忙
16,我也想要
17,可是見不到面啊哈哈
18,喔那你問幹嘛
19,笑死想換個資被打槍
20,我用了一個隔天起來竟然滲過去啊啊啊超驚恐不是側漏是有貼好的地方滲過去了雖然只有一點點啦不過涼涼的真的蠻特別的放衣櫥結果滿滿薄荷味
21,其實如果有轉到的應該可以開一篇文搜集一下說
22,搜尋到的都很零散而且不多覺得可以開一篇文整理包含冷知識扭蛋紙的文章
23,這活動是幹嘛的
24,別再辦了吧要辦就辦到最好辦個半調子惹民怨
25,真的去了覺得葉味好重有特色的地方沒幾個要送東西也不送的乾脆一點工作人員的素質要提升一問三不知
26,不要這樣說腦粉們會生氣氣喔還是繼續辦我看看他們可以消耗多久腦粉的愛才沒人要去
27,好喔我還是覺得午夜實驗室問題那篇比較好
28,請說中文
29,外國人你那裡過得去我卡在身份證呢
30,分不清楚先噓
31,我腦中想的是但是身體不自覺打已經更改惹
32,問題是那些廠商要來嗎有手機業者就不錯了
33,其實現在化妝的男生也蠻多的
34,可以孝敬媽媽
35,拿去追你喜歡女孩
36,醜男送化妝品被打槍
37,嗚公分睡覺不翻身還是露的
38,妳可以試試墊兩塊不然聽說液體衛生棉挺可以的
39,上下各一個嗎感覺變超長怕從縫隙流出來
40,我都用一塊大的先貼直的然後再用一塊中的貼橫的貼在翅膀的起點
41,通常涼感衛生棉外包裝旁邊好像會有那種可重複黏貼的開口耶好像不是這樣撕的哈哈
42,推一個液體衛生棉超吸
43,哇我找到了太感恩你了他做的太好我都沒有發現到除了這包之後的都可以美美了
44,我也是用上下各一片黏但建議前面那片要在上面不然我上次沒黏好一樣從中間縫縫流出來
45,我的還沒拆
46,幸好我抽到代幣
47,謝謝那時候有有活動嗎還是只有販賣周邊而已
48,有活動啊草地遊樂場
49,我進去也是
50,沒有欸像我也一個人並沒有感受你說的但我在排電流時後的女孩有想要照顧我的感受願意跟我玩供你參考一下其實世界沒這麼可怕
51,就一個霸凌邊緣人的活動
52,真的假的我全都扭到冷知識然後丟了
53,冷知識不能換吧現場的人員跟我講說那個沒有獎品
54,最後他散場的時候小知識也可以換
55,冷知識我第一天換到很多卸妝水真的好像很多人不知道
56,我早上場的扭到三個冷知識交給工作人員她說冷知識就沒有禮物囉然後直接收走也沒辦法做紀念到底
57,我全部冷知識全部卸妝水耶
58,我也是被工作人員告知那不能換獎品我還有抽到整個都是空的扭蛋
59,空的是可以換的冷知識我就直接還他了原來可以換
60,哈哈哈我直接走人欸可以換喔
61,我是三點的過程跟你一樣只是他沒有收走
62,我冷知識也沒有換
63,可是我是號晚上點的連空殼都可以換啊
64,那可能晚上又改了吧一天改好幾次規則真的是很
65,我也下午五點出來抽到四張冷知識都說不能換東西
66,第一天冷知識可以換卸妝水沒有空殼第二天早上是空殼可以換冷知識沒有下午空殼有畫記號的才能換晚上冷知識畫記號的可以換空殼不行沒有一套標準做法很搞笑
67,下午場乾我枚代幣去扭個冷知識個兩天試用包超雖小我同學說冷知識可以直接丟了
68,你好衰
69,只能說你們太晚進去人家大概想著收攤了一整天下來蠻累的下午進去沒什麼感覺
70,調酒師真的帥
71,這只有廠商才能有所改變吧但是有替代方法嗎目前看到試用品都是這個形態
72,要別人改又不說怎麼改還想去拿那些東西又想環境友善送大罐就有比較環保嗎
73,這篇文超掃興的
74,這是廠商既有的試用品贊助又不是專為午夜活動訂製哪來的不環保之說呢
75,洗掉了
76,簽
77,如果還有一點點也可以加入行列收到感覺是反光分之一消失了圖案的嘴巴好像怪怪的那扇子是早鳥才有的嗎
78,我不清楚耶
79,隨處發吧
80,我今天有看到你們這群人耶
81,讚讚運氣不好飄過
82,可惡我一個都沒有
83,這裡也想要藍色袋子求收
84,我也有看到你們超羨慕你們有藍色袋子
85,也太好了一個都沒有
86,日冠王在這想認識的趕快來哈哈哈
87,男友表示就是跟工作人員聊天說玩第次的那個
88,可以給我嗎哈哈哈哈
89,超想要
90,拿到小籃袋的規定真的很奇怪有人拿到很多個卻有人一個也沒拿到
91,其實他們也沒有違反當天的遊戲規則喔他們花時間換藍袋子是沒有問題的只是今年的遊戲規則就是只要不要離開場地就可以一直玩這樣真的對報名比較晚的閃光們不太公平而已
92,早知道鼓起勇氣跟你們要一個
93,我有啊哈哈哈
94,給我被打
95,走啊給你
96,嗚嗚我拿到一堆紙膠帶可是想要藍袋
97,送我
98,果然還是女性福利時間嗚嗚嗚
99,求交換
100,也很難交換吧
101,給我嘛我們很近
102,那我們呢也近嗎
103,羨慕想收購
104,給女友哈哈哈
105,請問女友報名處在哪
106,我沒有女友阿
107,可收購嗎
108,辦抽獎
109,收購我可以幫解決你的困擾
110,我這裡也需要人幫忙都不用著
111,我很樂意幫忙
112,好羨慕
113,我也可以幫忙
114,我這裡還有兩袋需要關懷
115,怎麼關懷
116,前提是要先遇到我哈哈哈
117,夢裡相見是嗎
118,現在捷運很方便啊
119,我剛好在紅線可以關懷你哈哈
120,我在臺中讀書不過蠻常回去臺北的
121,可惜這裡不能換個資
122,還是有辦法的啦
123,我可以在捷運巧遇之類的哈哈哈
124,妳有看過我嗎
125,只要有心人人都可以巧遇
126,那我明天拿藍袋到處晃
127,可是紅線太長了啦哈哈至少給一個時間嘛哈哈
128,明早大概八點十分左右會從民權往淡水這樣能遇到我服妳
129,太早了啦還在睡覺
130,我每天早出晚歸哈哈哈
131,我八點二十左右會在民權
132,我可以等你晚歸
133,大家好熱絡
134,我還有紙膠帶你要嗎哈哈
135,我知道你還有哈哈哈想要
136,看到我的機率吧聽起來好曖昧
137,你也可以在紅線上跟我巧遇啦哈哈
138,很巧我每天北車淡水跑有機會的
139,是睡過頭嗎哈哈
140,我現在就在紅線上喔喔喔喔可是沒有帶紙膠帶就是了哈哈
141,同校的同學要不要一起出貨
142,那時候人潮很多哈哈哈
143,還可以一起出貨可是我只有一個紙膠帶還是有人要那個杯子嗎
144,我也是哦還好有位置坐
145,我也有位子坐哈哈今天出門回家都坐到米奇車廂覺得幸福哈哈
146,恭喜拿到戰利品哈哈說明的很詳盡謝謝妳
147,不會唷
148,我覺得你拿到的指甲油比較漂釀
149,已羨慕
150,你拿到什麼顏色姐姐沒抽到嗎
151,我跟我男友各抽到一個小藍袋裡面的東西跟色號一模模一樣樣哈哈
152,有點難過我的裡面沒有理膚寶水
153,理膚寶水是不在小藍袋裡的吧應該是要另外抽的我男友拿到三個空扭蛋換了三瓶卸妝潔膚水
154,我是看到這個有
155,再看了一下裡面的東西我覺得他們是把所有大家可能會拿到的贈品都放在一起像是防曬噴霧好像也是要參加哪個活動還是扭蛋才可以拿到的啊啊啊理膚寶水那個我在其他篇有看到感覺也是扭蛋抽到的不在小藍袋裡面哦
156,我拿到紫紅色的
157,哈哈恭喜你們也拿到了部分好像裡面有哦紫紅色感覺也很美呀
158,你的藍袋怎麼那麼整齊我抽卡拿到的根本一坨不明物體哈哈哈哈
159,其實是我自己整理的啦不然太亂看的心情很不好你拿到什麼
160,哦哦原來是這樣哈哈我還沒整理欸昨天回家直接攤在床上腳實在太痛了哈哈等等下課回家再整理拍上來給妳看
161,好啊拿到的時候男友還以為是垃圾堆讓我更想要整理了不覺得整齊看起來比較舒服嗎
162,真的超亂天哪可能講求速度隨便放我的是這些好像跟你一樣只是色號和長度不一樣我應該會把一些當揪團小禮物送出去哈哈
163,你的指甲油好紅喔我覺得唇膏不錯用妳下面粉紅色我也有兩袋
164,超紅超搶眼的啦我不行應該會送出去我只有一袋另一袋是學弟施捨給我的哈哈
165,我的很粉但我手指不白很不適合也不錯啊我是男友轉到的都歸我
166,需要閃光幫你要聯絡資料嗎
167,我要第一天負責攝影的工作人員
168,第一天攝影有兩男一女你要哪個
169,昨天下午兩點在入口一進去綁馬尾的女性還有個短頭髮工作人員也不錯
170,可以問今天的攤位的漂亮姊姊嗎
171,可以要抽卡實驗室的男工作人員嗎
172,找的就看得到他們的
173,祝大大每次上廁所都有衛生紙
174,我都自己帶不會有困擾
175,我要我要不過會不會人家已經有女朋友了哈哈哈
176,可以求問的女工作人員嗎
177,閃光可以跟你求問球池排隊控管的男工作人員嗎哈哈哈哈哈
